id,name,datim_id
418,ad Fufore Cottage Hospital,KrHj7Ycvctj
423,ad Garkida General Hospital,R2bNqBqJUIw
429,ad Township Clinic Jada,l01zG9ePfqt
431,ad Mayo Belwa Cottage Hospital,S5HvxHdK2Vt
432,ad Township Clinic Mayo-Belwa,DqWvsU2R8rw
437,ad Toungo Cottage Hospital,SSB1jXm3jdi
439,ad Major Aminu Urban Health Centre,hozfIkuo4eE
440,ad St. Francis Hospital,GbtTSJLBKbI
441,ad Yola Specialist Hospital,DPA6BxE9pzQ
442,ad GDCMH Ngurore,J2AZkcaFst0
443,ad Wauro-Jabbe Health Centre,gfEDfny3Hp0
444,ad Yola Federal Medical Centre,RxLmSTf6Kpl
466,ak Iko Town Primary Health Centre,jJwndfpsyuh
469,ak Abasi Ekeme Specialist Clinic,E9W18MRDpHr
473,ak Effoi Primary Health Centre,jfE3XKBsFEv
479,ak Iko Eket Health Centre,b1NaIppiMoR
480,ak Ikot Ebak Poly Clinic,uz0kFwLBXqH
484,ak Oron Eket Comprehensive Health Centre,ULIxtdPb4SY
490,ak Ekpene Obom QIC Rehabilitation Hosp,kmRTCY0esz0
491,ak Idung Assan Health Centre,jTiweHpRvd4
523,ak Etinan General Hospital,iaDfLinhr5R
524,ak Etinan Primary Health Centre,PHZvwBEXVNN
529,ak Ikot Obio Inyang Primary Health Centre,zFIutbAwvSN
536,ak Ndon Utim Primary Health Centre,f2d3oP0aYEL
542,ak Ibeno Cottage Hospital,IT1CAw7NmXo
546,ak Iwuo Achang Health Post,Z19xPuBd18b
548,ak Mkpanak Primary Health Center,YCp9aLmSmMt
554,ak Akpautong Mt. Camel Hospital,mxeORAzNzal
555,ak Nung Udoe Model Primary Health Centre,IBL5Nck2ZZK
558,ak Nung Udoe Primary Health Centre,ZEzwS0h2jaP
597,ak Base Ikot Abasi Primary Health Centre,C0810vNbF7i
637,ak Ebughu Primary Health Center,wByDgXTFiHI
638,ak Enwang Primary Health Centre,K66w8LC7LCL
639,ak Ibaka Primary Health Centre,A1xxdELs2fm
641,ak Uda Health Centre,NyAfbYPsCGy
643,ak Uyenghe Primary Health Centre,xLnu33wq3qm
644,ak Ikot Edebe Health Centre,rSmFsJpZIM9
654,ak Mkpat Enin Primary Health Centre,qsH4l8otzsd
656,ak Nsit Atai Primary Health Centre,TTOoi0wF4G9
658,ak Afaha Effiong OP Base Model Primary Health Centre,ulunZz6L3UM
663,ak Mbiokporo I Model Primary Health Centre,vPSKCcxAeTR
668,ak Ikot Ekwere Model Primary Health Centre,wQbXqZui5JX
670,ak Nsit Ubium Primary Health Centre,wqFu0L5LcPF
684,ak Eweme Model Primary Health Centre,jg0VSQiAIZZ
685,ak Ima Abasi Maternity Home,IU4lXhgmRYl
686,ak Mbokpu Oduobo Primary Health Centre,Bd9zC4esWvG
688,ak Okobo General Hospital,hURCKR0F6TX
689,ak Okopedi Primary Health Centre,Oj5Vfz8YO0F
690,ak Oti Oro Primary Health Centre,VV2YaEKzT3W
693,ak Base Abat Primary Health Centre,dmrFYPiuKAA
698,ak Ikot Eko Ibon General Hospital,lcN4UPIp3pu
705,ak Onna Comprehensive Health Centre,yoSOoXriY80
706,ak Esin Ufot Primary Health Centre,KXfvlSNOaBj
707,ak Eyo Abasi Health Post,oCg2otG1srn
708,ak Idua Assang Health Post,CTL8iNhJwBB
710,ak Oron Christ Victory Medical Centre,OeJa4jlFOD7
711,ak Oron General Hospital (Iquita),ae7th0rTtXI
712,ak Uwem Foundation Specialist Hospital,RtB8GUggaMq
714,ak Ekparakwa Health Centre,c3kbJokGc4i
716,ak Ikot Akpan Essien Health Centre,nGR9a1EEjSe
719,ak Ikot Okoro General Hospital,SkBX3Toxsby
725,ak Oruk Anam Primary Health Centre,gqJLAa2yUxY
729,ak Eyo Okponung Primary Health Centre,E3oAjMwPTJx
730,ak Eyofin Primary Health Centre,tnkmHqHxeyp
739,ak Ikot Akpa Ntuk Primary Health Centre,PBvN0n4G8hf
751,ak Ekpene Ibia Primary Health Center,l1uvWVMaokB
752,ak Ibiaku Isshiet Primary Health Centre,w5eSPCsTUXh
753,ak Ibiaku-Uruan Primary Health Centre,rVULNREkq0q
754,ak Idu-Uruan Primary Health Centre,lQTQ4TXvJyY
755,ak Ikot Otoenyie Health Post,KwX0sJpQG48
756,ak Ituk Mbang Methodist General Hospital,HfmNgrzgWEZ
757,ak Mbiaya Comprehensive Health Centre,gNraY9lqY0q
758,ak Ndon Ebom Primary Health Center,L9BtLFuM11b
759,ak Nwaniba Primary Health Centre,s04k18oAHbQ
760,ak Use Primary Health Centre,QMs8rQLRnLB
761,ak Base Urue Offong Primary Health Centre,O7ZT10hlis4
763,ak Ikpe Oro Health Post,L9aOC5x6Dm8
766,ak Mbokpu-Eyoakan Health Centre,hBMgAL3QIyX
767,ak Oduonim Health Post,bTaWOxebwQJ
769,ak Oruko General Hospital,amXJpQydaBz
770,ak Oruko Primary Health Centre,QWkhj6LkQMO
772,ak Oyoku Ibighi Health Centre,bpiu4ybCVk7
781,ak Gateway Hospital,CCcAjuVA9e3
785,ak Idoro Obio Health Centre,OX2RLpRPBK4
786,ak Ifa Atai Health Post,wj03dAcVomS
788,ak Ikot Ayan Ikono Primary Health Centre,OvwdEjZGjKt
790,ak Ikot Okubo Primary Health Centre,siGKb9DTTcY
791,ak LifeCare Clinic,Cmu3rczjJ3v
794,ak Mbak Etoi Primary Health Centre,JtzEimEaHSe
795,ak Mbiabong Primary Health Centre,YjxQYf0Wb3T
799,ak Oku Model Health Centre Uyo,ByosPb3uhpZ
800,ak Our Lady of Lourdes Infirmary,vVnDk5RgWyb
802,ak Premier Medical Centre,Wpbeq1IYUGg
803,ak Ubong Abasi Specialist Clinic,zXsarb4djvA
804,ak University of Uyo Medical Centre,zyNpCab6d3Z
806,ak University Teaching Hospital,qlDibKC0IEv
809,ak Uyo Base Primary Health Centre,uEVMPceCov1
810,ak Uyo Police Clinic,GNxyTCxwfNv
812,ak Uyo St Athanasius Medical Centre,nnjEYKiOt3O
1159,ba Abubakar Tafawa Balewa University Teaching Hospital,BHkRzQsQgSl
1161,ba Apple Clinic,MpmpfU1fB1W
1162,ba Bayara Infectious Diseases Hospital,ExiHYOsNk3q
1167,ba Mararraba Primary Health Centre,e1wNZo2KVzh
